Source,Target
32531,32562
32531,32460
32444,32448
32450,32450
32393,32544
32481,32482
32474,32408
32437,32420
32437,32540
32437,32523
32437,32397
32472,32484
32423,32488
32423,32407
32423,32434
32422,32546
32422,32432
32422,32522
32422,32554
32452,32484
32452,32472
32395,32494
32395,32475
32457,32476
32457,32490
32434,32394
32434,32427
32535,32508
32497,32412
32454,32495
32550,32440
32490,32448
32496,32416
32502,32434
32502,32460
32502,32488
32441,32489
32518,32491
32557,32444
32557,32483
32557,32526
32440,32549
32440,32409
32440,32540
32560,32483
32560,32484
32446,32420
32446,32540
32448,32516
32448,32446
32448,32473
32443,32518
32443,32491
32458,32460
32392,32532
32392,32554
32392,32542
32488,32423
32488,32543
32488,32502
32488,32460
32488,32407
32547,32459
32407,32392
32407,32542
32407,32559
32522,32422
32522,32421
32522,32432
32526,32557
32526,32444
32549,32551
32549,32554
32549,32464
32549,32502
32397,32420
32397,32540
32397,32475
32424,32394
32424,32451
32424,32434
32424,32486
32453,32563
32414,32540
32414,32532
32445,32498
32445,32487
32445,32404
32439,32503
32439,32457
32544,32405
32544,32468
32544,32485
32470,32477
32543,32510
32543,32490
32468,32420
32468,32499
32468,32448
32401,32508
32401,32550
32459,32478
32459,32553
32459,32477
32459,32401
32503,32439
32503,32457
32415,32435
32415,32451
32421,32422
32489,32410
32491,32443
32515,32505
32521,32420
32521,32521
32506,32524
32524,32450
32473,32448
32473,32502
32399,32499
32399,32468
32482,32481
32469,32420
32469,32468
32409,32420
32420,32540
32420,32397
32483,32457
32509,32490
32509,32510
32493,32448
32428,32420
32534,32540
32426,32418
32476,32490
32476,32457
32408,32499
32510,32490
32510,32543
32510,32536
32533,32465
32533,32433
32559,32565
32559,32556
32540,32420
32540,32468
32540,32432
32540,32476
32540,32469
32442,32483
32442,32484
32455,32546
32455,32410
32556,32565
32556,32402
32464,32525
32416,32461
32416,32563
32498,32433
32460,32458
32460,32459
32460,32417
32467,32553
32467,32534
32467,32408
32508,32478
32529,32499
32529,32399
32529,32468
32555,32423
32400,32478
32400,32514
32400,32477
32400,32550
32400,32401
32548,32416
32394,32451
32394,32434
32394,32424
32478,32459
32538,32549
32538,32529
32519,32440
32565,32420
32565,32523
32484,32442
32462,32513
32462,32550
32462,32456
32456,32462
32456,32551
32456,32513
32551,32546
32551,32549
32551,32399
32553,32540
32553,32468
32433,32533
32433,32487
32433,32424
32413,32408
32554,32392
32554,32532
32410,32489
32410,32512
32536,32536
32429,32435
32402,32420
32402,32540
32402,32565
32402,32468
32402,32528
32402,32558